,product_id,product_name,category_path,price
67,1068,LCD NEC EA223WMe,Komputery;Monitory;Monitory LCD,999.0
68,1069,LCD NEC EA224WMi,Komputery;Monitory;Monitory LCD,979.0
69,1070,LCD Philips 241S4LCB,Komputery;Monitory;Monitory LCD,609.0
70,1071,LCD Philips 241B4LPYCB,Komputery;Monitory;Monitory LCD,689.0
71,1072,Jabra Freeway,Telefony i akcesoria;Akcesoria telefoniczne;Zestawy głośnomówiące,299.0
72,1073,Jabra Drive,Telefony i akcesoria;Akcesoria telefoniczne;Zestawy głośnomówiące,129.0
73,1074,Gembird BTCC-002,Telefony i akcesoria;Akcesoria telefoniczne;Zestawy głośnomówiące,86.28
74,1075,Ricoh SG3110DN,Komputery;Drukarki i skanery;Biurowe urządzenia wielofunkcyjne,1998.14
75,1076,Samsung CLX-6260FR ### Gadżety Samsung ### Eksploatacja -10% ### Negocjuj Cenę ### Raty ### Szybkie Płatności ### Szybka Wysyłka,Komputery;Drukarki i skanery;Biurowe urządzenia wielofunkcyjne,2399.0
76,1077,Kyocera FS-C2026MFP,Komputery;Drukarki i skanery;Biurowe urządzenia wielofunkcyjne,3777.0
77,1078,Kyocera FS-3540MFP,Komputery;Drukarki i skanery;Biurowe urządzenia wielofunkcyjne,5126.0
78,1079,Kyocera FS-3040MFP,Komputery;Drukarki i skanery;Biurowe urządzenia wielofunkcyjne,4598.0
79,1080,Kyocera FS-3140MFP,Komputery;Drukarki i skanery;Biurowe urządzenia wielofunkcyjne,5301.9
80,1081,OKI B840dn,Komputery;Drukarki i skanery;Biurowe urządzenia wielofunkcyjne,5259.0
81,1082,Total War Shogun 2 (PC),Gry i konsole;Gry komputerowe,34.99
82,1083,MAJESTY ANTOLOGIA (PC),Gry i konsole;Gry komputerowe,8.99
83,1084,Sing It High School Musical 3 (PS3),Gry i konsole;Gry na konsole;Gry PlayStation3,99.99
84,1085,Dishonored (PC),Gry i konsole;Gry komputerowe,34.99
85,1086,Disney Universe (PC),Gry i konsole;Gry komputerowe,24.9
86,1087,Fallout 3 (PC),Gry i konsole;Gry komputerowe,34.99
87,1088,Fallout New Vegas (PC),Gry i konsole;Gry komputerowe,32.99
88,1089,Rayman Origins (PC),Gry i konsole;Gry komputerowe,37.9
89,1090,Władca Pierścieni Wojna Na Północy (PC),Gry i konsole;Gry komputerowe,33.99
90,1091,Borderlands (PC),Gry i konsole;Gry komputerowe,118.9
91,1092,Company of Heroes (PC),Gry i konsole;Gry komputerowe,34.99
92,1093,Company of Heroes 2 (PC),Gry i konsole;Gry komputerowe,34.99
93,1094,Hospital Tycoon (PC),Gry i konsole;Gry komputerowe,17.99
94,1095,Twierdza 2 (PC),Gry i konsole;Gry komputerowe,34.99
95,1096,Bionic Commando (PC),Gry i konsole;Gry komputerowe,36.99
96,1097,Company of Heroes Tales of Valor (PC),Gry i konsole;Gry komputerowe,49.99
97,1098,DIRT 3 (PC),Gry i konsole;Gry komputerowe,16.9
98,1099,Resident Evil 5 (PC),Gry i konsole;Gry komputerowe,75.0
99,1100,Cities in Motion (PC),Gry i konsole;Gry komputerowe,4.99
100,1101,Dragonshard (PC),Gry i konsole;Gry komputerowe,3.0
101,1102,Dream Pinball 3D (PC),Gry i konsole;Gry komputerowe,4.9
102,1103,Symulator Śmieciarki (PC),Gry i konsole;Gry komputerowe,49.9
103,1104,Anomaly Warzone Earth (PC),Gry i konsole;Gry komputerowe,37.99
104,1105,Battlefield 3 Close Quarters (PC),Gry i konsole;Gry komputerowe,10.9
105,1106,Overlord (PC),Gry i konsole;Gry komputerowe,17.99
106,1107,Rise of the Argonauts (PC),Gry i konsole;Gry komputerowe,34.99
107,1108,Dead Space 2 (PC),Gry i konsole;Gry komputerowe,28.9
108,1109,Batman Arkham Asylum (PC),Gry i konsole;Gry komputerowe,33.99
109,1110,Bioshock (PC),Gry i konsole;Gry komputerowe,82.9
110,1111,Battlefield Bad Company 2 (PC),Gry i konsole;Gry komputerowe,32.9
111,1112,Singularity (PC),Gry i konsole;Gry komputerowe,8.9
112,1113,Borderlands 2 (PC),Gry i konsole;Gry komputerowe,16.9
113,1114,Brink (PC),Gry i konsole;Gry komputerowe,32.99
114,1115,Napoleon Total War (PC),Gry i konsole;Gry komputerowe,34.99
115,1116,Call of Duty 4 Modern Warfare (PC),Gry i konsole;Gry komputerowe,45.9
116,1117,Sonic Generations (PC),Gry i konsole;Gry komputerowe,79.99
